,Country,Year,GHG Engery,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP,CO2-GDP logged,CO2-GDP PPP logged,CO2-POP logged,Socioeconomic Measures
0,Canada,1971,366.6118133,20994.32288,345.6174905,64.35598819,211.748862,68.3526568,3.099452497,1.265993236,57.486,0.719,0.702,15.492,-0.14327110961711742,-0.15366288787019475,1.1901074883140452,6.393173490826733
1,Chile,1971,22.06574132,355.343975,21.71039734,5.167808865,14.78051651,1.324191205,0.606738605,0.438639753,57.724,0.466,0.278,2.161,-0.3316140833099998,-0.5559552040819237,0.33465476688324136,4.947085479491318
2,Colombia,1971,33.05402375,4612.654275,28.44136947,6.174544004,18.22757603,2.628954286,0.958218915,0.599886475,45.999,0.0,0.0,1.213,0.0,0.0,0.08386080086657301,5.583860800866573
3,Costa Rica,1971,0.0,0.0,1.343074986,0.002506452,1.291324321,0.0,0.099567243,0.0,37.704,0.139,0.095,0.692,-0.8569851997459049,-1.0222763947111522,-0.15989390554324223,3.460844499999701
4,Mexico,1971,118.9967321,22305.29285,96.69143921,5.206264152,70.06945173,19.58605364,0.258252769,1.403116037,52.102,0.335,0.176,1.754,-0.47495519296315475,-0.7544873321858502,0.24402958903002173,4.514587063881017
5,United States of America,1971,4599.842353,260963.831,4338.878522,1112.829169,2024.817817,1197.765398,23.59087962,15.50762078,64.525,0.801,0.801,20.651,-0.09636748391576232,-0.09636748391576232,1.3149410866929834,6.622206118861459
6,Australia,1971,152.1925554,6389.95525,145.8026002,75.65644928,65.2865156,4.005109765,5.152768116,1.59087494,66.342,0.451,0.499,10.863,-0.34582345812203946,-0.3018994543766101,1.035949779536674,5.888226867038025
7,Israel,1971,13.90319643,13.833375,13.88936306,0.022977732,13.83222933,0.032800045,0.0,1.810801528,57.262,0.283,0.285,4.517,-0.5482135644757098,-0.5451551399914898,0.6548500905613942,5.0614813860941945
8,Japan,1971,765.1442739,8359.744325,756.7845296,202.7778602,545.4191035,8.587565906,50.45768772,3.834008722,67.048,0.49,0.419,7.154,-0.3098039199714863,-0.3777859770337047,0.8545489358129508,5.66695903880776
9,Korea,1971,66.52308347,11775.19714,54.74788633,23.77285235,30.97503398,0.0,1.542673945,0.0,74.507,0.751,0.569,1.61,-0.1243600629958316,-0.24488773360492885,0.20682587603184974,5.337578079431089
10,New Zealand,1971,13.80086605,61.8577,13.73900835,4.034478086,9.458690582,0.245839685,1.053429755,0.645895128,47.232,0.226,0.232,4.714,-0.645891560852599,-0.6345120151091003,0.673389578188305,4.892986002226605
11,Austria,1971,0.0,0.0,49.58428949,16.68328969,27.24427207,5.426587948,0.0,0.279779502,61.701,0.335,0.297,6.48,-0.47495519296315475,-0.5272435506827877,0.8115750058705934,5.309376262224651
12,Belgium,1971,0.0,0.0,119.4057764,45.06011693,63.00118052,11.34447898,8.166021252,1.226796986,71.05,0.658,0.584,12.213,-0.1817741063860445,-0.23358715288760054,1.0868223570990618,6.171461097825417
13,Czechia,1971,0.0,0.0,156.9573407,135.3361629,19.75240668,1.868771083,0.0,0.701370888,80.769,2.329,1.225,15.611,0.36716948853468073,0.0881360887005513,1.1934307237268453,7.148736300962078
14,Denmark,1971,55.96319869,8.884765,55.95431392,6.156243962,49.75611826,0.0,2.112617698,1.943215885,71.532,0.405,0.44,11.167,-0.3925449767853314,-0.3565473235138126,1.0479365161380791,5.798844215838935
15,Estonia,1971,0.022512825,22.512825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
